#Time X Y Z(m) dE dN dU(m) RMS Ratio GPS BDS
2390 233941 -2267809.967058994341642 5009324.106451723724604 3221016.698758120648563 -153.739396477171852 1581.686249179175775 -7.772318235976485 30.388 6 10
2390 233942 -2267809.966161276213825 5009324.109073244035244 3221016.701183618512005 -153.737497544858172 1581.685185739169356 -7.775288834886197 39.011 6 10
2390 233943 -2267809.967180989217013 5009324.107460736297071 3221016.701148060616106 -153.739091501172254 1581.684683544909149 -7.774367767911400 46.101 6 10
2390 233944 -2267809.965094014070928 5009324.104636241681874 3221016.700181966647506 -153.738355071401543 1581.683770593810095 -7.770919469181479 54.632 6 10
2390 233945 -2267809.967046125791967 5009324.107317601330578 3221016.699563885573298 -153.739027668469021 1581.685953383646392 -7.773402510797411 48.499 6 10
2390 233946 -2267809.964171012863517 5009324.105743011459708 3221016.701524897012860 -153.737057784799447 1581.682932948520147 -7.772142469744210 52.487 6 10
2390 233947 -2267809.966810022015125 5009324.105188274756074 3221016.698900908697397 -153.739690705008570 1581.685489101208759 -7.771311066474055 40.893 6 10
2390 233948 -2267809.966674224473536 5009324.106910669244826 3221016.699888424947858 -153.738856682413200 1581.685407541398945 -7.773116066861945 46.418 6 10
2390 233949 -2267809.968841205816716 5009324.112150104716420 3221016.701914704404771 -153.738670083597128 1581.686542193182504 -7.779026316167290 31.169 6 10
2390 233950 -2267809.965248249005526 5009324.104034847579896 3221016.700191874522716 -153.738743593248330 1581.683515963991567 -7.770507430497446 56.066 6 10
2390 233951 -2267809.965816350653768 5009324.107526433654130 3221016.700175565201789 -153.737821216316888 1581.685265527626370 -7.773440419872657 55.590 6 10
2390 233952 -2267809.965806597843766 5009324.104811890050769 3221016.698541253339499 -153.738931801333308 1581.685414312052671 -7.770476591019445 44.106 6 10
2390 233953 -2267809.965280636213720 5009324.109562199562788 3221016.700867054052651 -153.736493634289104 1581.685500186662466 -7.775198814232141 44.268 6 10
2390 233954 -2267809.966378728859127 5009324.103777900338173 3221016.698906680103391 -153.739879429431596 1581.684740798604025 -7.770054233391164 58.546 6 10
2390 233955 -2267809.967402689158916 5009324.105462409555912 3221016.698838161304593 -153.740117574871135 1581.685794262700483 -7.771704766933169 46.865 6 10
2390 233956 -2267809.967542473226786 5009324.114508095197380 3221016.701860371977091 -153.736514504359207 1581.687408457424453 -7.780387507510824 25.385 6 10
2390 233957 -2267809.967220335733145 5009324.107357333414257 3221016.702437583357096 -153.739169989060940 1581.683533320433980 -7.774955928189172 42.522 6 10
2390 233958 -2267809.965045460499823 5009324.105571283027530 3221016.699606092646718 -153.737925230569886 1581.684689273727372 -7.771343208134965 44.368 6 10
2390 233959 -2267809.966150652151555 5009324.109740036539733 3221016.700825694017112 -153.737212883008112 1581.685800471500443 -7.775626335776792 32.811 6 10
2390 233960 -2267809.963996959384531 5009324.103363636881113 3221016.698672973085195 -153.737880468488527 1581.684251135376371 -7.768764487647189 61.421 6 10
2390 233961 -2267809.966183628421277 5009324.107497835531831 3221016.699092432856560 -153.738167601686314 1581.686262105567494 -7.772997999177591 42.695 6 10
2390 233962 -2267809.967899755109102 5009324.111553298309445 3221016.703060634434223 -153.738058539274448 1581.685081663168603 -7.778806024146888 32.392 6 10
2390 233963 -2267809.966816154308617 5009324.107973744161427 3221016.702093955129385 -153.738547572092443 1581.684029936191791 -7.775121382408400 62.008 6 10
2390 233964 -2267809.967220233753324 5009324.112271866761148 3221016.701007811818272 -153.737143156933769 1581.687039910402518 -7.778085251279435 36.286 6 10
2390 233965 -2267809.968418284319341 5009324.114707252942026 3221016.704436692874879 -153.737230239866051 1581.685465354140661 -7.782164080210435 29.005 6 10
2390 233966 -2267809.964616116136312 5009324.102729484438896 3221016.698157240636647 -153.738706045505467 1581.684531482066632 -7.768224753746040 38.363 6 10
2390 233967 -2267809.967135317623615 5009324.106003248132765 3221016.699163731187582 -153.739650958028506 1581.685708217736192 -7.772199594821416 45.842 6 10
2390 233968 -2267809.963779266923666 5009324.102789639495313 3221016.699102548882365 -153.737918864591620 1581.683569804583612 -7.768455113339883 57.366 6 10
2390 233969 -2267809.965983286499977 5009324.107536075636744 3221016.700010416563600 -153.737969319247668 1581.685447210816619 -7.773423350675955 38.548 6 10
2390 233970 -2267809.968891956377774 5009324.112088280729949 3221016.700822730548680 -153.738741813602928 1581.687464667881386 -7.778440910355982 25.039 6 10
2390 233971 -2267809.967018932104111 5009324.110220116563141 3221016.701694425195456 -153.737805906086180 1581.685456503877049 -7.776752875020719 32.658 6 10
2390 233972 -2267809.966390754096210 5009324.109399984590709 3221016.701815514825284 -153.737571853319423 1581.684840879272542 -7.775947820731261 32.954 6 10
2390 233973 -2267809.966399215627462 5009324.107778578996658 3221016.702791397459805 -153.738248224749384 1581.683251532469740 -7.775174598225959 43.742 6 10
2390 233974 -2267809.967108185868710 5009324.106216888874769 3221016.699541138019413 -153.739538136066813 1581.685476397351977 -7.772549373222716 35.109 6 10
2390 233975 -2267809.966739869676530 5009324.109734123572707 3221016.701174971647561 -153.737752101135982 1581.685620403808798 -7.776008469987630 26.516 6 10
2390 233976 -2267809.966334824915975 5009324.106602945365012 3221016.700301874894649 -153.738674392422979 1581.684837865830787 -7.772964188584496 40.352 6 10
2390 233977 -2267809.966307984665036 5009324.109649374149740 3221016.703846683260053 -153.737393602493341 1581.683189649525275 -7.777146302314890 33.354 6 10
2390 233978 -2267809.966523894108832 5009324.107742046937346 3221016.701755445916206 -153.738376873083837 1581.684152960501251 -7.774663763589871 43.706 6 10
2390 233979 -2267809.966413184069097 5009324.106491188518703 3221016.699951491784304 -153.738791866137888 1581.685104315973831 -7.772726276161194 35.255 6 10
2390 233980 -2267809.967011987231672 5009324.108749889768660 3221016.701938245445490 -153.738405896521613 1581.684564405231185 -7.775720772866691 29.411 6 10
2390 233981 -2267809.966913286130875 5009324.106570524163544 3221016.701481726951897 -153.739214743425862 1581.683927940882768 -7.773743788976617 39.111 6 10
2390 233982 -2267809.965163853950799 5009324.101400601677597 3221016.697613822296262 -153.739753064328852 1581.684499074618998 -7.767100498018863 39.516 6 10
2390 233983 -2267809.966014903038740 5009324.105546971783042 3221016.701157788280398 -153.738818422676843 1581.683544793126202 -7.772457003998682 35.849 6 10
2390 233984 -2267809.967429106123745 5009324.106609468348324 3221016.700303370598704 -153.739668597135392 1581.685068930149555 -7.773358729353561 29.688 6 10
2390 233985 -2267809.967172876466066 5009324.108417353592813 3221016.701037541497499 -153.738689604238516 1581.685219902820336 -7.775059285075656 31.535 6 10
2390 233986 -2267809.966900862287730 5009324.103481195867062 3221016.698843394871801 -153.740477455234611 1581.684767366627284 -7.769974727667972 27.805 6 10
2390 233987 -2267809.963852511718869 5009324.103206871077418 3221016.699965674895793 -153.737813525819377 1581.683034949699504 -7.769247115551963 39.772 6 10
2390 233988 -2267809.964418675750494 5009324.101483192294836 3221016.700438566040248 -153.739040143731984 1581.681948335069364 -7.768336119705111 38.717 6 10
2390 233989 -2267809.965867192484438 5009324.106322104111314 3221016.700235950294882 -153.738364195429938 1581.684666622061059 -7.772544246504481 35.319 6 10
2390 233990 -2267809.965032466687262 5009324.102964984253049 3221016.699696291703731 -153.738988223167610 1581.683402259645845 -7.769339526647911 38.871 6 10
2390 233991 -2267809.965007144492120 5009324.105325789190829 3221016.697683745063841 -153.737991565468633 1581.686223208927004 -7.770160077518682 30.665 6 10
2390 233992 -2267809.966680548619479 5009324.108326981775463 3221016.700088303536177 -153.738278360578533 1581.685892415040598 -7.774331128192244 28.231 6 10
2390 233993 -2267809.965647465083748 5009324.105993085540831 3221016.700499481521547 -153.738299709145110 1581.684241285330017 -7.772341978756145 31.134 6 10
2390 233994 -2267809.966195044107735 5009324.107715529389679 3221016.701569481752813 -153.738088225112392 1581.684231926977418 -7.774431654094514 28.329 6 10
2390 233995 -2267809.966033155098557 5009324.107591317966580 3221016.698881204705685 -153.737991967974494 1581.686455768644464 -7.772910558169144 25.192 6 10
2390 233996 -2267809.966219387482852 5009324.112078841775656 3221016.702376229688525 -153.736310984723218 1581.685562249243048 -7.778273735441644 25.714 6 10
2390 233997 -2267809.964114570524544 5009324.105306339450181 3221016.701744316145778 -153.737186447855379 1581.682529984486791 -7.771891314924858 29.864 6 10
2390 233998 -2267809.965742288623005 5009324.105166481807828 3221016.699025088921189 -153.738726982756646 1581.685148293081966 -7.770977840576137 28.003 6 10
2390 233999 -2267809.967426734976470 5009324.110121152363718 3221016.699781757313758 -153.738218228761298 1581.687143434342715 -7.775848081598184 25.146 6 10
2390 234000 -2267809.965572854038328 5009324.105323791503906 3221016.700602897908539 -153.738507753079091 1581.683826726528196 -7.771842904626936 29.728 6 10
2390 234001 -2267809.968399425502867 5009324.112213797867298 3221016.703079293947667 -153.738241353007822 1581.685476094117803 -7.779511206187919 25.435 6 10
2390 234002 -2267809.968294538091868 5009324.112837092019618 3221016.702373802661896 -153.737888755445226 1581.686350274718279 -7.779604470115544 18.399 6 10
2390 234003 -2267809.967234682757407 5009324.106660638004541 3221016.699114883318543 -153.739470374415873 1581.686075456172148 -7.772725851866483 18.814 6 10
2390 234004 -2267809.967560356948525 5009324.111372390761971 3221016.702190315350890 -153.737823951871235 1581.685676342438228 -7.778101255194997 25.189 6 10
2390 234005 -2267809.966211820952594 5009324.103799608536065 3221016.699156887363642 -153.739718423230897 1581.684500378495386 -7.770139135351542 31.184 6 10
2390 234006 -2267809.967217951081693 5009324.108148056082428 3221016.700899230316281 -153.738841724910571 1581.685223796082482 -7.774793715882112 27.217 6 10
2390 234007 -2267809.966333487071097 5009324.104917626827955 3221016.700517971999943 -153.739368194091526 1581.683871240317103 -7.771751228287968 28.831 6 10
2390 234008 -2267809.966333873569965 5009324.105844122357666 3221016.697894628625363 -153.738986462138541 1581.686559599953853 -7.771145152585746 24.135 6 10
2390 234009 -2267809.967144066467881 5009324.110283602029085 3221016.701267872005701 -153.737893722795548 1581.685879488076580 -7.776630362859692 24.545 6 10
2390 234010 -2267809.964294463861734 5009324.100252278149128 3221016.699638104531914 -153.739434611584898 1581.682041837954330 -7.766919444309252 32.437 6 10
2390 234011 -2267809.966553219128400 5009324.107233551330864 3221016.699728013947606 -153.738613290405226 1581.685669816433347 -7.773244903816021 25.885 6 10
2390 234012 -2267809.967649723868817 5009324.108362186700106 3221016.700679689645767 -153.739146764888915 1581.685602496861293 -7.775003511255903 26.185 6 10
2390 234013 -2267809.968854005914181 5009324.112516054883599 3221016.701254915911704 -153.738530827757643 1581.687282537061037 -7.778982693051944 24.897 6 10
2390 234014 -2267809.965876398608088 5009324.106033555231988 3221016.698533234186471 -153.738491578963703 1581.686001426736766 -7.771455826885585 30.878 6 10
2390 234015 -2267809.967998784035444 5009324.114366588182747 3221016.703209595289081 -153.736988562500756 1581.686276560090619 -7.781124205983019 21.830 6 10
2390 234016 -2267809.968385374639183 5009324.114970563910902 3221016.703403461258858 -153.737091670333484 1581.686470228055441 -7.781833913305462 23.243 6 10
2390 234017 -2267809.965258896816522 5009324.107363011687994 3221016.702952414285392 -153.737380768274477 1581.682681485852754 -7.774525355809402 29.306 6 10
2390 234018 -2267809.967546647414565 5009324.106812910176814 3221016.698734368197620 -153.739691778927636 1581.686539049414478 -7.772762755345411 24.625 6 10
2390 234019 -2267809.967788302805275 5009324.108842208981514 3221016.699100781697780 -153.739075051092243 1581.687213601361691 -7.774626980725373 22.544 6 10
2390 234020 -2267809.967554464004934 5009324.111097734421492 3221016.702838467434049 -153.737931850848895 1581.684989733173097 -7.778213047336720 28.684 6 10
2390 234021 -2267809.967272584326565 5009324.108473872765899 3221016.701419634278864 -153.738757130175600 1581.684937888221612 -7.775333217515936 30.310 6 10
2390 234022 -2267809.968726070597768 5009324.117078611627221 3221016.702989311888814 -153.736532693049469 1581.687874252198981 -7.783398432148857 18.073 6 10
2390 234023 -2267809.968031450174749 5009324.109825273044407 3221016.701235668268055 -153.738891146612787 1581.685881008711021 -7.776569569779184 26.924 6 10
2390 234024 -2267809.966062337160110 5009324.107891331426799 3221016.702243386302143 -153.737894828278741 1581.683705104913315 -7.774864921920681 28.491 6 10
2390 234025 -2267809.968357963021845 5009324.108270145952702 3221016.703191287815571 -153.739829931064833 1581.683545204534767 -7.776459200722314 31.843 6 10
2390 234026 -2267809.968162500765175 5009324.112631727941334 3221016.699589148163795 -153.737853160433701 1581.688625807151311 -7.777981326845207 18.425 6 10
2390 234027 -2267809.969423630740494 5009324.112060375511646 3221016.700789585709572 -153.739237679208884 1581.687591719864486 -7.778591010336214 22.406 6 10
2390 234028 -2267809.967270725872368 5009324.111627092584968 3221016.701959067955613 -153.737455058456419 1581.685932721064546 -7.778080708048378 28.877 6 10
2390 234029 -2267809.965546904597431 5009324.101326736621559 3221016.697406294289976 -153.740132486808932 1581.684723888698727 -7.767073131451326 33.382 6 10
2390 234030 -2267809.966080672573298 5009324.107137186452746 3221016.699117381125689 -153.738222539105493 1581.686052076655869 -7.772691144460623 28.862 6 10
2390 234031 -2267809.969097917433828 5009324.109900301322341 3221016.702062748838216 -153.739831761317475 1581.685426925473848 -7.777427530336524 26.537 6 10
2390 234032 -2267809.965019579045475 5009324.106528811156750 3221016.699571485631168 -153.737506770647769 1581.685156950292821 -7.772067706262902 29.545 6 10
2390 234033 -2267809.967419094871730 5009324.107243597507477 3221016.698750011157244 -153.739397963826491 1581.686698235465883 -7.773063318845459 27.194 6 10
2390 234034 -2267809.966257704421878 5009324.111468156799674 3221016.703015743754804 -153.736597736318970 1581.684736777507396 -7.778133191838577 27.288 6 10
2390 234035 -2267809.967630335595459 5009324.109747803770006 3221016.700543193612248 -153.738557677650931 1581.686357473214230 -7.776014416132341 25.181 6 10
2390 234036 -2267809.965194443240762 5009324.106172712519765 3221016.699714584276080 -153.737812926702929 1581.684905495024850 -7.771923139093644 30.250 6 10
